Temperature[K]	 qtunn_Ia	    qtunn_Ec	  
300.0	      3.929676e+00 	  4.356798e+00  
400.0	      2.024511e+00 	  2.184615e+00  
500.0	      1.544196e+00 	  1.638958e+00  
600.0	      1.343860e+00 	  1.410845e+00  
700.0	      1.238759e+00 	  1.290815e+00  
800.0	      1.175644e+00 	  1.218797e+00  
900.0	      1.134011e+00 	  1.171741e+00  
1000.0	      1.104461e+00 	  1.139092e+00  
1100.0	      1.082165e+00 	  1.115401e+00  
1200.0	      1.064434e+00 	  1.097603e+00  
1300.0	      1.049686e+00 	  1.083855e+00  
1400.0	      1.036949e+00 	  1.072990e+00  
1500.0	      1.025609e+00 	  1.064239e+00  
1600.0	      1.015268e+00 	  1.057075e+00  
1700.0	      1.005661e+00 	  1.051129e+00  
1800.0	      9.966128e-01 	  1.046132e+00  
1900.0	      9.880024e-01 	  1.041890e+00  
2000.0	      9.797478e-01 	  1.038252e+00  
