Temperature[K]	 qtunn_Ia	    qtunn_Ec	  
300.0	      1.512339e+01 	  1.639305e+01  
400.0	      3.278422e+00 	  3.447132e+00  
500.0	      2.004721e+00 	  2.080624e+00  
600.0	      1.589022e+00 	  1.636565e+00  
700.0	      1.394170e+00 	  1.428515e+00  
800.0	      1.284898e+00 	  1.311701e+00  
900.0	      1.216652e+00 	  1.238595e+00  
1000.0	      1.170840e+00 	  1.189395e+00  
1100.0	      1.138445e+00 	  1.154506e+00  
1200.0	      1.114617e+00 	  1.128768e+00  
1300.0	      1.096538e+00 	  1.109182e+00  
1400.0	      1.082469e+00 	  1.093899e+00  
1500.0	      1.071287e+00 	  1.081725e+00  
1600.0	      1.062236e+00 	  1.071856e+00  
1700.0	      1.054791e+00 	  1.063737e+00  
1800.0	      1.048574e+00 	  1.056970e+00  
1900.0	      1.043313e+00 	  1.051267e+00  
2000.0	      1.038800e+00 	  1.046412e+00  
